idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
0,WB1_23_136,OK,1661,2181,331,649,0.0,0.915,0.69,1.96,3,data\images\wide\terrain\adrien\WB1_23_136.jpg,data\images\crop\terrain\adrien\WB1_23_136.jpg
1,WB1_23_137,OK,1478,2785,327,793,0.0,0.807,0.799,2.43,3,data\images\wide\terrain\adrien\WB1_23_137.jpg,data\images\crop\terrain\adrien\WB1_23_137.jpg
2,WB1_23_138,OK,1466,2580,171,418,0.0,0.872,0.856,2.44,2,data\images\wide\terrain\adrien\WB1_23_138.jpg,data\images\crop\terrain\adrien\WB1_23_138.jpg
3,WB1_23_139,OK,1446,2078,283,474,0.0,0.828,0.747,1.68,3,data\images\wide\terrain\adrien\WB1_23_139.jpg,data\images\crop\terrain\adrien\WB1_23_139.jpg
4,WB1_23_140,OK,1024,1990,426,299,-90.0,0.78,0.479,1.43,2,data\images\wide\terrain\adrien\WB1_23_140.jpg,data\images\crop\terrain\adrien\WB1_23_140.jpg
5,WB1_23_141,OK,1367,2052,199,474,0.0,0.946,0.86,2.38,2,data\images\wide\terrain\adrien\WB1_23_141.jpg,data\images\crop\terrain\adrien\WB1_23_141.jpg
6,WB1_23_142,OK,1598,2978,235,586,0.0,0.914,0.788,2.49,1,data\images\wide\terrain\adrien\WB1_23_142.jpg,data\images\crop\terrain\adrien\WB1_23_142.jpg
7,WB1_23_143,OK,1314,2810,280,611,9.951,0.919,0.836,2.18,4,data\images\wide\terrain\adrien\WB1_23_143.jpg,data\images\crop\terrain\adrien\WB1_23_143.jpg
8,WB1_23_144,OK,1622,2357,267,474,0.0,0.899,0.743,1.78,2,data\images\wide\terrain\adrien\WB1_23_144.jpg,data\images\crop\terrain\adrien\WB1_23_144.jpg
9,WB1_23_145,OK,1418,1958,267,673,0.0,0.922,0.798,2.52,4,data\images\wide\terrain\adrien\WB1_23_145.jpg,data\images\crop\terrain\adrien\WB1_23_145.jpg
10,WB1_23_146,OK,1414,1966,315,697,0.0,0.973,0.821,2.22,3,data\images\wide\terrain\adrien\WB1_23_146.jpg,data\images\crop\terrain\adrien\WB1_23_146.jpg
11,WB1_23_147,OK,1454,3138,235,426,0.0,0.91,0.805,1.81,3,data\images\wide\terrain\adrien\WB1_23_147.jpg,data\images\crop\terrain\adrien\WB1_23_147.jpg
12,WB1_23_148,OK,1757,2612,203,490,0.0,0.917,0.855,2.41,2,data\images\wide\terrain\adrien\WB1_23_148.jpg,data\images\crop\terrain\adrien\WB1_23_148.jpg
13,WB1_23_149,OK,1789,3090,235,586,0.0,0.948,0.839,2.49,1,data\images\wide\terrain\adrien\WB1_23_149.jpg,data\images\crop\terrain\adrien\WB1_23_149.jpg
14,WB1_23_150,OK,1709,2715,187,426,0.0,0.942,0.817,2.28,4,data\images\wide\terrain\adrien\WB1_23_150.jpg,data\images\crop\terrain\adrien\WB1_23_150.jpg
15,WB1_23_151,OK,1476,2092,151,406,0.0,0.924,0.859,2.68,2,data\images\wide\terrain\adrien\WB1_23_151.jpg,data\images\crop\terrain\adrien\WB1_23_151.jpg
16,WB1_23_152,OK,1482,2006,203,418,0.0,0.961,0.865,2.06,2,data\images\wide\terrain\adrien\WB1_23_152.jpg,data\images\crop\terrain\adrien\WB1_23_152.jpg
17,WB1_23_153,OK,1454,2148,167,458,0.0,0.968,0.793,2.74,2,data\images\wide\terrain\adrien\WB1_23_153.jpg,data\images\crop\terrain\adrien\WB1_23_153.jpg
18,WB1_23_154,OK,1478,2054,267,634,0.0,0.971,0.808,2.37,5,data\images\wide\terrain\adrien\WB1_23_154.jpg,data\images\crop\terrain\adrien\WB1_23_154.jpg
